ID,Issue,Status,Priority,Date Submitted
TICKET-1100,Website performance degradation,Closed,Low,2023-07-19
TICKET-1099,Collaboration tool not sending notifications,In Progress,Medium,2023-06-02
TICKET-1098,System updates causing compatibility issues,Closed,Medium,2023-10-16
TICKET-1097,Database connection failure,Closed,High,2023-07-15
TICKET-1096,Security vulnerability identified,Open,Medium,2023-06-07
TICKET-1095,Website performance degradation,Closed,Medium,2023-08-09
TICKET-1094,Customer data not loading in CRM,Open,Low,2023-07-06
TICKET-1093,Database connection failure,Closed,Low,2023-09-18
TICKET-1092,Database connection failure,In Progress,Low,2023-09-11
TICKET-1091,Email server downtime,Closed,Low,2023-06-04
TICKET-1090,Security vulnerability identified,Open,High,2023-08-14
TICKET-1089,Printer not responding to print commands,Open,Low,2023-08-30
TICKET-1088,Software application crashing on startup,In Progress,Medium,2023-10-29
TICKET-1087,Mobile application not syncing data,Closed,High,2023-11-28
TICKET-1086,Login authentication problems,Closed,Medium,2023-07-29
TICKET-1085,Software application crashing on startup,In Progress,Medium,2023-06-23
TICKET-1084,Network connectivity issues in the office,Closed,Medium,2023-07-01
TICKET-1083,Mobile application not syncing data,Closed,Low,2023-11-30
TICKET-1082,Mobile application not syncing data,Open,Low,2023-11-14
TICKET-1081,Intrusion detection system alerts,Closed,High,2023-06-16
TICKET-1080,Employee unable to access shared files,Closed,High,2023-09-04
TICKET-1079,File server running out of storage space,In Progress,Low,2023-08-10
TICKET-1078,System updates causing compatibility issues,In Progress,Medium,2023-09-29
TICKET-1077,System updates causing compatibility issues,Open,High,2023-10-13
TICKET-1076,Customer data not loading in CRM,Closed,Low,2023-09-08
TICKET-1075,Mobile application not syncing data,Closed,Low,2023-09-29
TICKET-1074,Collaboration tool not sending notifications,Closed,Low,2023-10-11
TICKET-1073,Printer not responding to print commands,Open,Medium,2023-08-27
TICKET-1072,Data backup failure,Open,Low,2023-10-09
TICKET-1071,Customer data not loading in CRM,In Progress,Low,2023-08-04
TICKET-1070,Website performance degradation,Open,Low,2023-11-21
TICKET-1069,Hardware malfunction in the server room,Closed,Low,2023-08-01
TICKET-1068,Website performance degradation,Closed,High,2023-09-26
TICKET-1067,Inventory management system errors,Open,High,2023-11-28
TICKET-1066,Email server downtime,Closed,Low,2023-08-04
TICKET-1065,VPN connection problems for remote employees,Closed,Medium,2023-06-05
TICKET-1064,Inventory management system errors,Open,High,2023-10-02
TICKET-1063,Hardware malfunction in the server room,Open,Low,2023-08-28
TICKET-1062,Software application crashing on startup,Closed,High,2023-11-20
TICKET-1061,Collaboration tool not sending notifications,Closed,High,2023-11-28
TICKET-1060,System updates causing compatibility issues,Closed,Medium,2023-10-27
TICKET-1059,Website performance degradation,In Progress,Low,2023-06-23
